Resistance Nominal (Ω),Capacitance Nominal (F),Resistance Actual (Ω),Capacitance Actual (F),Frequency Nominal (Hz),Frequency Actual (Hz),R Tolerance,C Tolerance
100.0,9.090999999999998e-08,103.08719433777998,8.969397544366336e-08,17506.868671421777,17212.82440711702,0.05,0.05
100.0,9.090999999999998e-08,102.42417774841685,9.244311333225304e-08,17506.868671421777,16809.04663516407,0.1,0.1
100.0,1.0101099999999999e-07,100.11515204705658,1.015472595543002e-07,15756.199135925332,15654.9654231238,0.01,0.01
100.0,1.0101099999999999e-07,96.52964874632954,9.661691478868555e-08,15756.199135925332,17064.997950892222,0.05,0.05
100.0,1.0101099999999999e-07,109.59493834499253,1.0998420351395074e-07,15756.199135925332,13203.811659995512,0.1,0.1
100.0,1.11112e-07,100.32481303091313,1.1006806016605552e-07,14323.830287628278,14412.869688271263,0.01,0.01
100.0,1.11112e-07,95.19425493789161,1.0753976475908071e-07,14323.830287628278,15546.774896563298,0.05,0.05
100.0,1.11112e-07,101.9917583204577,1.170240531423569e-07,14323.830287628278,13334.597670439396,0.1,0.1
100.0,1.21213e-07,99.46680237405884,1.204256404965245e-07,13130.187611221185,13286.879923244736,0.01,0.01
100.0,1.21213e-07,96.41320865045716,1.1521402235739183e-07,13130.187611221185,14327.758613403588,0.05,0.05
100.0,1.21213e-07,92.9455648851997,1.2838389751200518e-07,13130.187611221185,13337.698761590149,0.1,0.1
100.0,1.3131399999999998e-07,100.2113524340454,1.3059083999334826e-07,12120.180871186267,12161.593776194124,0.01,0.01
100.0,1.3131399999999998e-07,101.14493874518496,1.3096303746214862e-07,12120.180871186267,12015.095766130782,0.05,0.05
100.0,1.3131399999999998e-07,92.7435365883439,1.1847560958965635e-07,12120.180871186267,14484.634034013408,0.1,0.1
100.0,1.41415e-07,100.0000143588882,1.4154316725724786e-07,11254.459787992457,11244.267266519613,0.01,0.01
100.0,1.41415e-07,99.05554987369497,1.3573114345203356e-07,11254.459787992457,11837.549572016032,0.05,0.05
100.0,1.41415e-07,90.29883234194638,1.357941436900019e-07,11254.459787992457,12979.469922443726,0.1,0.1
100.0,1.51516e-07,99.37955408368421,1.5154400411107226e-07,10504.167420727537,10567.793780166874,0.01,0.01
100.0,1.51516e-07,101.8521044498819,1.4566205154034481e-07,10504.167420727537,10727.6279350893,0.05,0.05
100.0,1.51516e-07,109.01852536672764,1.4864846867322793e-07,10504.167420727537,9821.083167197501,0.1,0.1
100.0,1.6161699999999998e-07,99.03376332935773,1.6311882412169287e-07,9847.661019069488,9852.189731677265,0.01,0.01
100.0,1.6161699999999998e-07,101.4546978158315,1.5433846272724457e-07,9847.661019069488,10164.213990095706,0.05,0.05
100.0,1.6161699999999998e-07,101.35827526938326,1.554770940576696e-07,9847.661019069488,10099.37515309692,0.1,0.1
100.0,1.7171799999999998e-07,99.48431390303824,1.7224937991437495e-07,9268.390214881105,9287.69308002466,0.01,0.01
100.0,1.7171799999999998e-07,104.98245397425354,1.6375341416281412e-07,9268.390214881105,9257.911990276189,0.05,0.05
100.0,1.7171799999999998e-07,103.59356101605557,1.8638472808146731e-07,9268.390214881105,8242.8433241759,0.1,0.1
100.0,1.8181899999999997e-07,99.98452914197709,1.8288149184286257e-07,8753.482479383087,8703.97370084185,0.01,0.01
100.0,1.8181899999999997e-07,98.47061281119679,1.747339540167274e-07,8753.482479383087,9249.881869664505,0.05,0.05
100.0,1.8181899999999997e-07,104.84960084010035,1.6912603117775315e-07,8753.482479383087,8975.174324869111,0.1,0.1
100.0,1.9192e-07,100.73717437879112,1.9207615659424368e-07,8292.775275734439,8225.397781472906,0.01,0.01
100.0,1.9192e-07,101.18447774295025,1.983446456237288e-07,8292.775275734439,7930.229503836463,0.05,0.05
100.0,1.9192e-07,97.38104579511774,2.081861384968777e-07,8292.775275734439,7850.437991999288,0.1,0.1
100.0,2.0202099999999998e-07,100.6907151188513,2.0196779403960469e-07,7878.13856440149,7826.157511092267,0.01,0.01
100.0,2.0202099999999998e-07,102.99424799168844,2.0608241356578934e-07,7878.13856440149,7498.358987894525,0.05,0.05
100.0,2.0202099999999998e-07,92.75105696437245,1.946811779895876e-07,7878.13856440149,8814.086307298776,0.1,0.1
100.0,2.1212199999999997e-07,99.03919279496694,2.1392383221478366e-07,7502.99087750895,7511.970429845689,0.01,0.01
100.0,2.1212199999999997e-07,101.91514489231173,2.0615058972773238e-07,7502.99087750895,7575.2474497901385,0.05,0.05
100.0,2.1212199999999997e-07,108.04544671651284,1.9856469793966962e-07,7502.99087750895,7418.423503618662,0.1,0.1
100.0,2.22223e-07,99.46952212085937,2.211801683864927e-07,7161.947372319487,7234.090137427787,0.01,0.01
100.0,2.22223e-07,103.6606603259416,2.1219591286253863e-07,7161.947372319487,7235.5099653874095,0.05,0.05
100.0,2.22223e-07,105.625393283918,2.0142563708753003e-07,7161.947372319487,7480.610571988498,0.1,0.1
100.0,2.3232399999999998e-07,99.46462813452115,2.3402391966219098e-07,6850.55969645389,6837.403647103225,0.01,0.01
100.0,2.3232399999999998e-07,103.3798789573715,2.366217627537428e-07,6850.55969645389,6506.2302258193295,0.05,0.05
100.0,2.3232399999999998e-07,104.84851454746342,2.3284440432042116e-07,6850.55969645389,6519.166066433064,0.1,0.1
100.0,2.4242499999999995e-07,100.53701090077425,2.4398026379440874e-07,6565.120886537913,6488.427647476601,0.01,0.01
100.0,2.4242499999999995e-07,97.49638358516609,2.5427887641899387e-07,6565.120886537913,6419.797674250848,0.05,0.05
100.0,2.4242499999999995e-07,98.8635053980634,2.658023919507718e-07,6565.120886537913,6056.549090098966,0.1,0.1
100.0,2.5252599999999994e-07,99.62459133180872,2.5178181201877475e-07,6302.517090988467,6344.964900860393,0.01,0.01
100.0,2.5252599999999994e-07,103.02085235678815,2.541836698902975e-07,6302.517090988467,6077.813187944113,0.05,0.05
100.0,2.5252599999999994e-07,109.93333222771815,2.56895872417377e-07,6302.517090988467,5635.515037520025,0.1,0.1
100.0,2.6262699999999993e-07,100.6068366506115,2.616419693790047e-07,6060.113510488083,6046.2378601626115,0.01,0.01
100.0,2.6262699999999993e-07,102.22314971626531,2.626417893097687e-07,6060.113510488083,5927.984300479492,0.05,0.05
100.0,2.6262699999999993e-07,109.41428622584013,2.8754021143783315e-07,6060.113510488083,5058.800028672317,0.1,0.1
100.0,2.727279999999999e-07,99.51477773733292,2.707612195858264e-07,5835.665684927671,5906.7160347949975,0.01,0.01
100.0,2.727279999999999e-07,100.6797793368184,2.8498549266674396e-07,5835.665684927671,5546.961148370262,0.05,0.05
100.0,2.727279999999999e-07,99.58470918632169,2.6065624034170826e-07,5835.665684927671,6131.3957063267235,0.1,0.1
100.0,2.8282899999999997e-07,100.27473677764635,2.812015583215847e-07,5627.249790222903,5644.310255319327,0.01,0.01
100.0,2.8282899999999997e-07,101.89559489886915,2.953829661647841e-07,5627.249790222903,5287.851803502037,0.05,0.05
100.0,2.8282899999999997e-07,103.09259666252643,3.100101702963148e-07,5627.249790222903,4979.855159165884,0.1,0.1
100.0,2.9292999999999996e-07,99.2212030985363,2.948540324680582e-07,5433.207356429705,5440.121148150353,0.01,0.01
100.0,2.9292999999999996e-07,98.73094222605265,2.977911055022442e-07,5433.207356429705,5413.213147832324,0.05,0.05
100.0,2.9292999999999996e-07,91.54579033082526,3.137504991245171e-07,5433.207356429705,5541.117096492212,0.1,0.1
100.0,3.0303099999999996e-07,100.76853943130845,3.003436393814046e-07,5252.101042200149,5258.679816195298,0.01,0.01
100.0,3.0303099999999996e-07,103.72637373218762,3.010502175885971e-07,5252.101042200149,5096.734266710013,0.05,0.05
100.0,3.0303099999999996e-07,93.21629776009749,2.7608824734545574e-07,5252.101042200149,6184.154934790249,0.1,0.1
100.0,3.1313199999999995e-07,99.76544204133796,3.132414956154451e-07,5082.678968993759,5092.8479655117735,0.01,0.01
100.0,3.1313199999999995e-07,98.25906878624097,3.082134805302036e-07,5082.678968993759,5255.279973290348,0.05,0.05
100.0,3.1313199999999995e-07,106.88831272767789,3.295559325328441e-07,5082.678968993759,4518.151361041612,0.1,0.1
100.0,3.2323299999999994e-07,99.14815315740614,3.254784106351869e-07,4923.845742603489,4931.889255839537,0.01,0.01
100.0,3.2323299999999994e-07,96.3293736754319,3.174346235490516e-07,4923.845742603489,5204.836604888823,0.05,0.05
100.0,3.2323299999999994e-07,100.87206592408258,3.4336020144484557e-07,4923.845742603489,4595.145432698087,0.1,0.1
100.0,3.3333399999999993e-07,100.71538187649816,3.321321871200668e-07,4774.638743479374,4757.878665153097,0.01,0.01
100.0,3.3333399999999993e-07,95.1060155699164,3.273214371871773e-07,4774.638743479374,5112.551488300137,0.05,0.05
100.0,3.3333399999999993e-07,99.68303150346574,3.465955331220842e-07,4774.638743479374,4606.551526579043,0.1,0.1
100.0,3.434349999999999e-07,99.79483774657855,3.417948485714513e-07,4634.20860110051,4666.0194239670245,0.01,0.01
100.0,3.434349999999999e-07,96.71221616717303,3.4963058299638485e-07,4634.20860110051,4706.839419446433,0.05,0.05
100.0,3.434349999999999e-07,100.73013921235845,3.5933630874786306e-07,4634.20860110051,4397.031685894076,0.1,0.1
100.0,3.535359999999999e-07,99.8581282981961,3.5478421678654913e-07,4501.803015588098,4492.337938740763,0.01,0.01
100.0,3.535359999999999e-07,97.42179374218303,3.685996873607772e-07,4501.803015588098,4432.0948652385505,0.05,0.05
100.0,3.535359999999999e-07,91.1655323018148,3.4581818833717126e-07,4501.803015588098,5048.259000546478,0.1,0.1
100.0,3.636369999999999e-07,100.41443886865417,3.604353726733641e-07,4376.75327570889,4397.405957323272,0.01,0.01
100.0,3.636369999999999e-07,98.38034477000683,3.7520536216013454e-07,4376.75327570889,4311.642608711479,0.05,0.05
100.0,3.636369999999999e-07,97.26432699097747,3.6948731242984127e-07,4376.75327570889,4428.605708354544,0.1,0.1
100.0,3.7373799999999995e-07,100.14058886373533,3.7270300969870997e-07,4258.462963142505,4264.293524918189,0.01,0.01
100.0,3.7373799999999995e-07,99.81572048374238,3.8769960968478227e-07,4258.462963142505,4112.6885490522645,0.05,0.05
100.0,3.7373799999999995e-07,94.86363930831364,3.757233005322722e-07,4258.462963142505,4465.316235114687,0.1,0.1
100.0,3.8383899999999995e-07,100.69903017826857,3.8590423044482144e-07,4146.39844028083,4095.578968881108,0.01,0.01
100.0,3.8383899999999995e-07,99.20848743710205,3.671893318793379e-07,4146.39844028083,4368.991989030263,0.05,0.05
100.0,3.8383899999999995e-07,107.38442197947703,3.883324398872868e-07,4146.39844028083,3816.587085434421,0.1,0.1
100.0,3.9393999999999994e-07,100.12087495972214,3.938552769590025e-07,4040.080801439188,4036.0712722339917,0.01,0.01
100.0,3.9393999999999994e-07,97.06799767302567,4.0613436294760026e-07,4040.080801439188,4037.144776521622,0.05,0.05
100.0,3.9393999999999994e-07,108.14359239365952,3.863666571186172e-07,4040.080801439188,3809.0765361512495,0.1,0.1
100.0,4.0404099999999993e-07,100.62710579699959,4.001685772433714e-07,3939.0790313828393,3952.4116125126816,0.01,0.01
100.0,4.0404099999999993e-07,96.66287549219157,4.1421310957815637e-07,3939.0790313828393,3974.994952283032,0.05,0.05
100.0,4.0404099999999993e-07,97.89917140664346,4.0018601491095824e-07,3939.0790313828393,4062.367490642452,0.1,0.1
100.0,4.141419999999999e-07,99.13598788779075,4.170949454085873e-07,3843.0041650423136,3849.0527775549995,0.01,0.01
100.0,4.141419999999999e-07,103.39370217862648,4.05964980564203e-07,3843.0041650423136,3791.7306000761905,0.05,0.05
100.0,4.141419999999999e-07,94.01749193349804,3.806545610892164e-07,3843.0041650423136,4447.136216446083,0.1,0.1
100.0,4.242429999999999e-07,100.8259074237481,4.235887515036007e-07,3751.504281553151,3726.521005066001,0.01,0.01
100.0,4.242429999999999e-07,96.78410118888269,4.030442038180239e-07,3751.504281553151,4080.0306957403145,0.05,0.05
100.0,4.242429999999999e-07,107.95579144106608,3.922623311331581e-07,3751.504281553151,3758.353109653827,0.1,0.1
100.0,4.343439999999999e-07,99.33042171885512,4.34687148746623e-07,3664.2601968001254,3686.048553774532,0.01,0.01
100.0,4.343439999999999e-07,103.58910706668367,4.488493286398884e-07,3664.2601968001254,3422.9886746320617,0.05,0.05
100.0,4.343439999999999e-07,92.63337063532492,4.3110223061323674e-07,3664.2601968001254,3985.4043887171597,0.1,0.1
100.0,4.4444499999999995e-07,100.16052381760538,4.471247695510128e-07,3580.9817433404664,3553.8149924557642,0.01,0.01
100.0,4.4444499999999995e-07,100.75761440725248,4.6125617116742275e-07,3580.9817433404664,3424.5228284606205,0.05,0.05
100.0,4.4444499999999995e-07,104.34397002026734,4.7520154848191386e-07,3580.9817433404664,3209.777497022845,0.1,0.1
100.0,4.5454599999999995e-07,100.97260517304589,4.552368421056162e-07,3501.4045463362418,3462.415378504933,0.01,0.01
100.0,4.5454599999999995e-07,104.38190085351555,4.4770303275190845e-07,3501.4045463362418,3405.68827354728,0.05,0.05
100.0,4.5454599999999995e-07,102.21613680988992,4.925131494398171e-07,3501.4045463362418,3161.4246740033677,0.1,0.1
100.0,4.6464699999999994e-07,99.8465063103542,4.6659976823219917e-07,3425.2872200163856,3416.1956839517106,0.01,0.01
100.0,4.6464699999999994e-07,103.98578699673529,4.561582161757192e-07,3425.2872200163856,3355.2945154591107,0.05,0.05
100.0,4.6464699999999994e-07,103.02635981382409,4.321487192929894e-07,3425.2872200163856,3574.691321997979,0.1,0.1
100.0,4.7474799999999993e-07,100.08250277663824,4.78359641106976e-07,3352.4089220364353,3324.355368264574,0.01,0.01
100.0,4.7474799999999993e-07,97.01196413123346,4.6688110123038156e-07,3352.4089220364353,3513.8930540941456,0.05,0.05
100.0,4.7474799999999993e-07,93.57933682075198,5.121409270137624e-07,3352.4089220364353,3320.8609037264914,0.1,0.1
100.0,4.84849e-07,99.32351335929422,4.80817277362268e-07,3282.5672135426767,3332.6368590667153,0.01,0.01
100.0,4.84849e-07,98.96055281979307,4.830536237595688e-07,3282.5672135426767,3329.3746961451843,0.05,0.05
100.0,4.84849e-07,105.41277562821843,4.986577557251379e-07,3282.5672135426767,3027.779921307946,0.1,0.1
100.0,4.9495e-07,100.88655726153452,4.911074762613631e-07,3215.576181268721,3212.256998822316,0.01,0.01
100.0,4.9495e-07,104.68612485012518,4.924432641275563e-07,3215.576181268721,3087.2713765970666,0.05,0.05
100.0,4.9495e-07,97.12056969614274,4.886760909624141e-07,3215.576181268721,3353.4189887238813,0.1,0.1
100.0,5.05051e-07,99.5020338696444,5.049546364446042e-07,3151.2647849800387,3167.6399339514096,0.01,0.01
100.0,5.05051e-07,104.45420232450932,5.030950802278529e-07,3151.2647849800387,3028.6155258698814,0.05,0.05
100.0,5.05051e-07,98.3020502720674,5.086274574513461e-07,3151.2647849800387,3183.1547649025315,0.1,0.1
100.0,5.15152e-07,99.24381619279129,5.15192787549305e-07,3089.4753993364156,3112.7690627586853,0.01,0.01
100.0,5.15152e-07,101.52888562990361,5.241413199635331e-07,3089.4753993364156,2990.763791749583,0.05,0.05
100.0,5.15152e-07,97.99377530172163,5.313575271065836e-07,3089.4753993364156,3056.573228569472,0.1,0.1
100.0,5.252529999999999e-07,100.26887092142267,5.246052969446585e-07,3030.0625240007266,3025.6684430228365,0.01,0.01
100.0,5.252529999999999e-07,99.65374841070806,5.101762131529635e-07,3030.0625240007266,3130.446505253527,0.05,0.05
100.0,5.252529999999999e-07,103.69072243290222,5.080239153098999e-07,3030.0625240007266,3021.3154678234155,0.1,0.1
100.0,5.35354e-07,99.15972433637535,5.357915101328694e-07,2972.891639772848,2995.6356694765373,0.01,0.01
100.0,5.35354e-07,102.72916391788378,5.524387778312951e-07,2972.891639772848,2804.414618670311,0.05,0.05
100.0,5.35354e-07,99.08605928040156,5.38745649375916e-07,2972.891639772848,2981.4243835823704,0.1,0.1
100.0,5.454549999999999e-07,100.64425088267632,5.475380510361337e-07,2917.8381918195887,2888.130774716453,0.01,0.01
100.0,5.454549999999999e-07,96.48342096271782,5.447472237593749e-07,2917.8381918195887,3028.115333978764,0.05,0.05
100.0,5.454549999999999e-07,96.15700379595592,5.629997469510894e-07,2917.8381918195887,2939.889516159853,0.1,0.1
100.0,5.55556e-07,99.61464433937586,5.578887968974342e-07,2864.786683824769,2863.8436394565556,0.01,0.01
100.0,5.55556e-07,104.3871442479647,5.562361587707749e-07,2864.786683824769,2741.030687566814,0.05,0.05
100.0,5.55556e-07,106.9407281167185,6.023033419374522e-07,2864.786683824769,2470.9372812405804,0.1,0.1
100.0,5.65657e-07,99.49656962826347,5.658549644254483e-07,2813.6298691945,2826.876877227431,0.01,0.01
100.0,5.65657e-07,95.28179247881357,5.738988811633263e-07,2813.6298691945,2910.548462048369,0.05,0.05
100.0,5.65657e-07,91.38274098099737,5.94925213810119e-07,2813.6298691945,2927.477567809175,0.1,0.1
100.0,5.75758e-07,100.13005755507398,5.793173578931425e-07,2764.268027398583,2743.715802036215,0.01,0.01
100.0,5.75758e-07,102.82881540163555,5.752399533527902e-07,2764.268027398583,2690.6441029357643,0.05,0.05
100.0,5.75758e-07,90.52714654404818,6.11311066204032e-07,2764.268027398583,2875.9348436575633,0.1,0.1
100.0,5.85859e-07,100.32231545686159,5.889819217869587e-07,2716.6083151730254,2693.522574233319,0.01,0.01
100.0,5.85859e-07,102.90930477916942,5.893130013876255e-07,2716.6083151730254,2624.3361618120084,0.05,0.05
100.0,5.85859e-07,102.6394065193353,5.423773302053272e-07,2716.6083151730254,2858.9362440765663,0.1,0.1
100.0,5.959599999999999e-07,99.23881320972498,5.941509394386654e-07,2670.5641837018484,2699.2417431828508,0.01,0.01
100.0,5.959599999999999e-07,104.26985324275432,5.7926664535258e-07,2670.5641837018484,2635.0135157201084,0.05,0.05
100.0,5.959599999999999e-07,106.80063552281113,6.511906502175631e-07,2670.5641837018484,2288.43266539237,0.1,0.1
100.0,6.06061e-07,99.5553155143594,6.046656644872036e-07,2626.0548540806176,2643.8716645717955,0.01,0.01
100.0,6.06061e-07,101.23710064932175,6.074895855219361e-07,2626.0548540806176,2587.8648740740805,0.05,0.05
100.0,6.06061e-07,90.85742636908866,5.970771826045664e-07,2626.0548540806176,2933.791364836184,0.1,0.1
100.0,6.161619999999999e-07,100.14590046261816,6.138542664200593e-07,2583.0048443736446,2588.938161481579,0.01,0.01
100.0,6.161619999999999e-07,95.97621930077699,5.999163588224649e-07,2583.0048443736446,2764.1766168094073,0.05,0.05
100.0,6.161619999999999e-07,109.92606843183988,5.757822931371929e-07,2583.0048443736446,2514.5549532764985,0.1,0.1
100.0,6.26263e-07,99.73261545746415,6.234985058247048e-07,2541.343542439763,2559.455046619192,0.01,0.01
100.0,6.26263e-07,102.42807282782951,6.379687295541343e-07,2541.343542439763,2435.576292360771,0.05,0.05
100.0,6.26263e-07,107.31726903892974,5.683605368283697e-07,2541.343542439763,2609.315556168167,0.1,0.1
100.0,6.363639999999999e-07,99.957331715563,6.309950404943506e-07,2501.004819441316,2523.3618419378663,0.01,0.01
100.0,6.363639999999999e-07,95.89690419668783,6.523417377184793e-07,2501.004819441316,2544.1363215187143,0.05,0.05
100.0,6.363639999999999e-07,92.50404119474078,6.149969220270442e-07,2501.004819441316,2797.6055663122816,0.1,0.1
100.0,6.46465e-07,100.4212516234814,6.496000645374863e-07,2461.9266795866033,2439.7675025928124,0.01,0.01
100.0,6.46465e-07,103.28401292006879,6.745672460374956e-07,2461.9266795866033,2284.3454375536535,0.05,0.05
100.0,6.46465e-07,101.53778767833543,6.332532794665355e-07,2461.9266795866033,2475.2267359374864,0.1,0.1
100.0,6.56566e-07,100.39622683995026,6.567806171839136e-07,2424.050942203759,2413.6951235403067,0.01,0.01
100.0,6.56566e-07,96.43834272627203,6.24407073809175e-07,2424.050942203759,2643.0329576901077,0.05,0.05
100.0,6.56566e-07,96.84379744859127,6.523752049785607e-07,2424.050942203759,2519.131709558421,0.1,0.1
100.0,6.666669999999999e-07,99.84211357794679,6.713623367815845e-07,2387.322952716954,2374.375441911431,0.01,0.01
100.0,6.666669999999999e-07,103.31422019006516,6.608399321547435e-07,2387.322952716954,2331.1152831640893,0.05,0.05
100.0,6.666669999999999e-07,94.16057786221108,7.198179151423676e-07,2387.322952716954,2348.1636736092,0.1,0.1
100.0,6.76768e-07,99.23300997149902,6.736021868841971e-07,2351.691319505286,2381.0059377879293,0.01,0.01
100.0,6.76768e-07,98.25419118271039,6.642770371085744e-07,2351.691319505286,2438.483418684715,0.05,0.05
100.0,6.76768e-07,108.00730192524577,6.220194564602971e-07,2351.691319505286,2368.98900404634,0.1,0.1
100.0,6.868689999999999e-07,100.8408113302623,6.867191764811854e-07,2317.107673979978,2298.288930367635,0.01,0.01
100.0,6.868689999999999e-07,99.91249550990014,7.20576605683034e-07,2317.107673979978,2210.650908303668,0.05,0.05
100.0,6.868689999999999e-07,107.74455055964924,6.801259848620384e-07,2317.107673979978,2171.878118958225,0.1,0.1
100.0,6.9697e-07,100.00712163470445,6.986876978994602e-07,2283.5264515243894,2277.750273030773,0.01,0.01
100.0,6.9697e-07,98.82997343410148,7.147796990713084e-07,2283.5264515243894,2252.9898941694255,0.05,0.05
100.0,6.9697e-07,107.10931591063513,6.397644819925891e-07,2283.5264515243894,2322.591116123753,0.1,0.1
100.0,7.070709999999999e-07,100.32469073003301,7.049850974029481e-07,2250.9046912105764,2250.2582646867627,0.01,0.01
100.0,7.070709999999999e-07,97.89176500467643,6.995495618789481e-07,2250.9046912105764,2324.103601755698,0.05,0.05
100.0,7.070709999999999e-07,95.69311759161832,7.129428254765788e-07,2250.9046912105764,2332.838773362573,0.1,0.1
100.0,7.17172e-07,99.03421292193882,7.218625019031663e-07,2219.2018524411906,2226.283127402804,0.01,0.01
100.0,7.17172e-07,99.81531311754557,6.879274187697208e-07,2219.2018524411906,2317.8233766240173,0.05,0.05
100.0,7.17172e-07,108.38130016813001,6.665453023172551e-07,2219.2018524411906,2203.109600890279,0.1,0.1
100.0,7.272729999999999e-07,99.82690796459566,7.276966348730004e-07,2188.3796468711935,2190.8979326082945,0.01,0.01
100.0,7.272729999999999e-07,102.22874571991424,7.026676016747672e-07,2188.3796468711935,2215.629656521294,0.05,0.05
100.0,7.272729999999999e-07,105.39602362960056,7.636484463479251e-07,2188.3796468711935,1977.435984353561,0.1,0.1
100.0,7.373739999999999e-07,99.2540185103534,7.430785144276478e-07,2158.401884144211,2157.9298788498845,0.01,0.01
100.0,7.373739999999999e-07,103.54396152458747,7.287241060534478e-07,2158.401884144211,2109.270208620919,0.05,0.05
100.0,7.373739999999999e-07,92.26950684301916,7.999265820920324e-07,2158.401884144211,2156.313010482894,0.1,0.1
100.0,7.47475e-07,100.31381608631844,7.537082432488847e-07,2129.2343301367314,2105.019457629328,0.01,0.01
100.0,7.47475e-07,104.09349194437014,7.684569707101358e-07,2129.2343301367314,1989.65143497603,0.05,0.05
100.0,7.47475e-07,92.64581115830495,7.780187203695639e-07,2129.2343301367314,2208.026577479277,0.1,0.1
100.0,7.575759999999999e-07,100.84886976175183,7.650685094998479e-07,2100.844576542754,2062.760325365694,0.01,0.01
100.0,7.575759999999999e-07,102.445627866193,7.611169095604421e-07,2100.844576542754,2041.1519324753385,0.05,0.05
100.0,7.575759999999999e-07,94.47959490157234,7.484051107639387e-07,2100.844576542754,2250.843835802172,0.1,0.1
100.0,7.67677e-07,99.4868939080618,7.630005483306714e-07,2073.2019207543713,2096.6667580891813,0.01,0.01
100.0,7.67677e-07,103.59630787209551,7.559788783441332e-07,2073.2019207543713,2032.1988081235727,0.05,0.05
100.0,7.67677e-07,103.89839041152507,7.054206460509157e-07,2073.2019207543713,2171.516560658679,0.1,0.1
100.0,7.777779999999999e-07,100.27386583821844,7.700638374999838e-07,2046.277255102296,2061.131230753849,0.01,0.01
100.0,7.777779999999999e-07,97.89149646960679,7.453572539791604e-07,2046.277255102296,2181.276304268997,0.05,0.05
100.0,7.777779999999999e-07,92.38061456127447,8.341780912042711e-07,2046.277255102296,2065.287446215962,0.1,0.1
100.0,7.87879e-07,100.75572008830835,7.811563076755694e-07,2020.0429646163352,2022.1458500733193,0.01,0.01
100.0,7.87879e-07,99.64864301896694,7.641222037576703e-07,2020.0429646163352,2090.1907578754567,0.05,0.05
100.0,7.87879e-07,97.1240028995466,7.394812959669563e-07,2020.0429646163352,2215.982695701151,0.1,0.1
100.0,7.979799999999999e-07,100.20991110838715,7.94152547867107e-07,1994.4728325508831,1999.887293991582,0.01,0.01
